id,relative_path,filename,category,description,residential_commercial,orientation,resolution,recommended_page,recommended_section,privacy_concerns,crop_edit,usage,quality
224,IMG_2258.JPG,IMG_2258.JPG,refrigerator; detailing,Empty refrigerator interior,residential,portrait,756x1008,Refrigerator,Maintenance / detailing,Interior appliance labels may remain,Crop or obscure labels in web copy,direct after edit,Good small detail
241,IMG_5960.jpeg,IMG_5960.jpeg,range; stove; oven,Stainless double-oven gas range,residential,landscape,5712x4284,Oven & Stove,Hero — selected,Cookware and spices; no identifiable person seen,Optional tighter crop; manufacturer logo natural,direct — selected,Sharp high resolution
254,IMG_6135.jpeg,IMG_6135.jpeg,oven; diagnostics; technician at work,Hand using infrared thermometer at open oven,residential,portrait,4284x5712,Oven & Stove,Residential alternative,Hand only; tool slightly out of focus,Landscape crop around oven and hand,direct after crop,Oven sharp; tool softer
290,IMG_6560.JPG,IMG_6560.JPG,washer; disassembly,Top-load washer with top assembly raised,residential,portrait,756x1008,Washer,Typical Repairs,Small service labels may be visible,Crop to tub and mechanical assembly,direct after crop,Good small detail
311,IMG_6742.jpeg,IMG_6742.jpeg,oven; replacement parts,Broken bake element inside oven,residential,landscape,5712x4284,Oven & Stove,Common Problems — selected,No identifying information seen,No privacy crop needed,direct — selected,Sharp close-up
354,IMG_7147.jpeg,IMG_7147.jpeg,dryer; disassembly,Dryer with front removed and drum visible,residential,portrait,4284x5712,Dryer,Typical Repairs,Personal laundry and shelf items at right,Crop to machine; remove labels if present,direct after crop,Sharp high resolution
381,IMG_7281.jpeg,IMG_7281.jpeg,range; replacement parts,Removed oven heating element beside gas range,residential,portrait,4284x5712,Oven & Stove,Typical Repairs,Shoe at lower edge; household countertop,Crop to element and appliance,direct after crop,Sharp high resolution
388,IMG_7294.jpeg,IMG_7294.jpeg,refrigerator; diagnostics; technician at work,Hand using clamp meter at exposed refrigerator wiring,residential,portrait,4284x5712,Refrigerator,Diagnostics,Kitchen items; possible small labels,Crop equipment and hand; check label text,direct after crop,Good high-resolution detail
493,IMG_7770.jpeg,IMG_7770.jpeg,oven; disassembly,Wall oven pulled out with side components exposed,residential,portrait,4284x5712,Oven & Stove,Typical Repairs,Clutter and household objects around oven,Tight crop; no hero use,reference / cropped technical detail,Good high resolution
500,IMG_7789.JPG,IMG_7789.JPG,cooktop,Clean stainless gas cooktop,residential,square,756x756,Oven & Stove,What We Repair,No obvious personal data,Square source; use small card without upscale,direct,Good small square
575,IMG_8151.jpeg,IMG_8151.jpeg,refrigerator; disassembly,Exposed refrigerator evaporator and fan assembly,residential,portrait,4284x5712,Refrigerator,Common Problems / diagnostics,Food residue and work-in-progress debris,Crop technical components,reference / cropped technical detail,Good detail; untidy context
594,IMG_8229.jpeg,IMG_8229.jpeg,sealed-system; diagnostics; technician at work,Hand holding refrigeration manifold gauges,unknown,portrait,3024x4032,Refrigerator,Diagnostics,Workshop background; no face seen,Crop background,direct after crop,Sharp high resolution
728,IMG_8794.jpeg,IMG_8794.jpeg,refrigerator; ice maker; replacement parts,Ice-maker assembly grille in refrigerator compartment,residential,landscape,4032x3024,Refrigerator,Ice-maker repair / parts,Small possible component labels,Check labels at full size; crop assembly,direct after crop,Sharp close-up
741,IMG_8827.jpeg,IMG_8827.jpeg,stove; burner,Low-angle view of lit gas burner,residential,landscape,4032x3024,Oven & Stove,Diagnostics / operation check,No identifying information seen,Crop to burner; not DIY instruction,direct,Sharp high-resolution detail
763,IMG_9175.jpeg,IMG_9175.jpeg,oven; disassembly,Oven cavity and exposed upper heating element,residential,landscape,5712x4284,Oven & Stove,Typical Repairs,Floor and work setting in frame,Crop technical assembly,direct after crop,Good high resolution
791,IMG_9368.jpeg,IMG_9368.jpeg,oven; diagnostics; technician at work,Hand measuring open oven with infrared thermometer,residential,portrait,3024x4032,Oven & Stove,Residential — selected,Serial label at left oven jamb,Crop left label; retain hand and instrument,direct — selected after crop,Sharp high resolution
797,IMG_9393.jpeg,IMG_9393.jpeg,commercial refrigeration,Restaurant kitchen refrigerators,commercial — visually inferred; confirm,portrait,4284x5712,Commercial Refrigerator,Commercial reference,Heavy surrounding clutter and storage items,Not suitable for direct website use,reference only,Adequate; cluttered
805,IMG_9460.jpeg,IMG_9460.jpeg,refrigerator; compressor; repairs,Exposed compressor compartment with driver tool,residential — inferred,portrait,4284x5712,Refrigerator,Sealed-system / repairs,Equipment labels and dirty floor,Crop labels and floor; technical detail only,reference / review before direct,Sharp high resolution
871,IMG_9903.JPG,IMG_9903.JPG,oven,Double wall oven installed in cabinet,residential,portrait,756x1008,Oven & Stove,What We Repair alternative,Reflective glass; room context,Full-size reflection review before use,reference,Good small card
886,IMG_9996.JPG,IMG_9996.JPG,microwave; range,Over-range microwave and gas range,residential,portrait,756x1008,Microwave,Hero / types,Household products at right,Crop countertop sides,direct after crop,Good small card
898,photo-4759_singular_display_fullPicture.jpg,photo-4759_singular_display_fullPicture.jpg,dryer,Silver dryer on storage pedestal,residential,portrait,3024x4032,Dryer,Types alternative,Laundry basket at left; reflection needs check,Crop sides; full-size reflection review,reference,Good high resolution
